,Unnamed: 0,date,counts,price,year,month,day
301,301,2018-11-07,190,405.0,2018,11,07 00:00:00
302,302,2018-05-22,138,100.0,2018,05,22 00:00:00
303,303,2018-08-08,201,434.0,2018,08,08 00:00:00
313,313,2018-03-04,140,277.0,2018,03,04 00:00:00
315,315,2018-07-13,249,199.0,2018,07,13 00:00:00
316,316,2018-05-25,176,171.0,2018,05,25 00:00:00
334,334,2018-03-12,39,1280.0,2018,03,12 00:00:00
340,340,2018-10-21,473,213.0,2018,10,21 00:00:00
344,344,2018-12-23,549,270.0,2018,12,23 00:00:00
348,348,2018-03-25,41,1081.0,2018,03,25 00:00:00
351,351,2018-10-31,190,441.0,2018,10,31 00:00:00
367,367,2018-08-14,228,220.0,2018,08,14 00:00:00
377,377,2018-12-20,193,199.0,2018,12,20 00:00:00
386,386,2018-10-15,220,121.0,2018,10,15 00:00:00
391,391,2018-06-29,219,327.0,2018,06,29 00:00:00
392,392,2018-08-16,250,2404.0,2018,08,16 00:00:00
397,397,2018-09-12,173,85.0,2018,09,12 00:00:00
403,403,2018-04-05,159,191.0,2018,04,05 00:00:00
417,417,2018-07-26,205,85.0,2018,07,26 00:00:00
421,421,2018-11-12,227,398.0,2018,11,12 00:00:00
430,430,2018-03-20,22,256.0,2018,03,20 00:00:00
438,438,2018-06-02,183,170.0,2018,06,02 00:00:00
439,439,2018-10-17,218,177.0,2018,10,17 00:00:00
454,454,2018-10-07,581,277.0,2018,10,07 00:00:00
461,461,2018-02-13,76,121.0,2018,02,13 00:00:00
465,465,2018-12-05,171,149.0,2018,12,05 00:00:00
470,470,2018-10-29,229,149.0,2018,10,29 00:00:00
481,481,2018-07-12,227,299.0,2018,07,12 00:00:00
486,486,2018-12-19,180,768.0,2018,12,19 00:00:00
494,494,2018-09-26,181,576.0,2018,09,26 00:00:00
499,499,2018-08-06,214,1003.0,2018,08,06 00:00:00
502,502,2018-04-06,236,277.0,2018,04,06 00:00:00
528,528,2018-05-27,273,412.0,2018,05,27 00:00:00
544,544,2018-04-08,217,356.0,2018,04,08 00:00:00
548,548,2018-11-04,428,355.0,2018,11,04 00:00:00
549,549,2018-11-24,224,2517.0,2018,11,24 00:00:00
559,559,2018-02-24,143,164.0,2018,02,24 00:00:00
560,560,2018-06-24,264,149.0,2018,06,24 00:00:00
563,563,2018-02-05,104,192.0,2018,02,05 00:00:00
568,568,2018-04-20,135,277.0,2018,04,20 00:00:00
574,574,2018-09-28,185,242.0,2018,09,28 00:00:00
577,577,2018-02-18,101,263.0,2018,02,18 00:00:00
580,580,2018-02-17,80,654.0,2018,02,17 00:00:00
581,581,2018-09-06,198,640.0,2018,09,06 00:00:00
584,584,2018-05-19,178,482.0,2018,05,19 00:00:00
587,587,2018-09-17,217,391.0,2018,09,17 00:00:00
595,595,2018-10-09,138,398.0,2018,10,09 00:00:00
601,601,2018-02-15,70,851.0,2018,02,15 00:00:00
605,605,2018-03-03,138,348.0,2018,03,03 00:00:00
611,611,2018-11-28,151,697.0,2018,11,28 00:00:00
614,614,2018-09-22,237,277.0,2018,09,22 00:00:00
616,616,2018-09-05,206,71.0,2018,09,05 00:00:00
624,624,2018-07-04,161,192.0,2018,07,04 00:00:00
626,626,2018-05-15,137,178.0,2018,05,15 00:00:00
627,627,2018-07-23,201,78.0,2018,07,23 00:00:00
656,656,2018-05-26,195,569.0,2018,05,26 00:00:00
670,670,2018-04-28,202,199.0,2018,04,28 00:00:00
678,678,2018-04-24,108,199.0,2018,04,24 00:00:00
680,680,2018-08-13,233,156.0,2018,08,13 00:00:00
689,689,2018-06-15,175,277.0,2018,06,15 00:00:00
698,698,2018-04-18,107,149.0,2018,04,18 00:00:00
706,706,2018-12-11,164,455.0,2018,12,11 00:00:00
708,708,2018-01-08,109,896.0,2018,01,08 00:00:00
710,710,2018-04-14,149,121.0,2018,04,14 00:00:00
713,713,2018-01-03,98,149.0,2018,01,03 00:00:00
720,720,2018-09-09,398,468.0,2018,09,09 00:00:00
721,721,2018-11-18,397,164.0,2018,11,18 00:00:00
736,736,2018-09-08,236,759.0,2018,09,08 00:00:00
741,741,2018-10-14,362,553.0,2018,10,14 00:00:00
742,742,2018-05-02,190,220.0,2018,05,02 00:00:00
748,748,2018-11-09,222,476.0,2018,11,09 00:00:00
749,749,2018-12-14,180,420.0,2018,12,14 00:00:00
755,755,2018-01-25,102,135.0,2018,01,25 00:00:00
764,764,2018-03-15,26,299.0,2018,03,15 00:00:00
765,765,2018-08-21,241,192.0,2018,08,21 00:00:00
768,768,2018-09-01,307,178.0,2018,09,01 00:00:00
770,770,2018-02-09,73,241.0,2018,02,09 00:00:00
782,782,2018-09-03,187,121.0,2018,09,03 00:00:00
783,783,2018-11-01,205,660.0,2018,11,01 00:00:00
784,784,2018-10-30,174,398.0,2018,10,30 00:00:00
785,785,2018-11-10,240,2979.0,2018,11,10 00:00:00
786,786,2018-07-07,217,99.0,2018,07,07 00:00:00
791,791,2018-03-18,49,170.0,2018,03,18 00:00:00
805,805,2018-04-16,132,3001.0,2018,04,16 00:00:00
815,815,2018-10-19,260,448.0,2018,10,19 00:00:00
824,824,2018-06-25,183,491.0,2018,06,25 00:00:00
829,829,2018-03-10,65,327.0,2018,03,10 00:00:00
838,838,2018-03-24,38,185.0,2018,03,24 00:00:00
844,844,2018-02-14,85,206.0,2018,02,14 00:00:00
848,848,2018-05-29,123,128.0,2018,05,29 00:00:00
856,856,2018-10-16,186,455.0,2018,10,16 00:00:00
859,859,2018-03-26,26,178.0,2018,03,26 00:00:00
863,863,2018-02-19,142,1500.0,2018,02,19 00:00:00
864,864,2018-10-13,202,2098.0,2018,10,13 00:00:00
865,865,2018-10-22,217,996.0,2018,10,22 00:00:00
867,867,2018-01-24,123,100.0,2018,01,24 00:00:00
882,882,2018-12-30,383,228.0,2018,12,30 00:00:00
884,884,2018-02-06,77,597.0,2018,02,06 00:00:00
889,889,2018-06-23,199,391.0,2018,06,23 00:00:00
927,927,2018-09-23,319,199.0,2018,09,23 00:00:00
930,930,2018-08-31,291,1202.0,2018,08,31 00:00:00
932,932,2018-03-02,117,697.0,2018,03,02 00:00:00
933,933,2018-07-29,303,363.0,2018,07,29 00:00:00
935,935,2018-01-14,163,3982.0,2018,01,14 00:00:00
943,943,2018-03-08,49,468.0,2018,03,08 00:00:00
945,945,2018-11-20,189,1195.0,2018,11,20 00:00:00
954,954,2018-11-13,157,548.0,2018,11,13 00:00:00
958,958,2018-12-12,181,626.0,2018,12,12 00:00:00
961,961,2018-12-28,244,292.0,2018,12,28 00:00:00
968,968,2018-09-25,243,2482.0,2018,09,25 00:00:00
971,971,2018-04-21,167,2979.0,2018,04,21 00:00:00
987,987,2018-08-07,208,270.0,2018,08,07 00:00:00
